Wind Speeds (m/s),Vestas V52,Enercon E-70,GE 1.5s,Nordex N90,Vestas V47,Enercon E-44,Enercon E-82,Gamesa G52,Vestas V90/2000,Vestas V42,Vestas V66,Enercon E-48,Enercon E-40,Siemens SWT-2.3-82 VS,Vestas V112,Vestas V39,Nordex N80,Enercon E-53,Nordex N60,Vestas V105,Nordex N117,GE 3.6sl,GE 1.5SE,GE Energy 2.75-120,Nordtank NTK300,Siemens SWT-3.6-120 VS OFF,Siemens SWT-3.6-107 VS OFF,Avera M5000-116 OFF,MHI Vestas V164/8000 OFF,MHI Vestas V164/9500 OFF,MHI Vestas V112/3300 OFF,Enercon E126/7580 OFF,GE Energy 2.85-103,Vestas V90/3000,Generic Curve 9.5kW,Generic Curve 12kW
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.5,0,10,0,0,0,0,12,0,0,0,0,0,0,0,9,0,0,8,0,0,0,15,0,0,0,0,0,0,0,0,0,25,0,0,0,0
3,5,18,3,0,0,2,25,0,10,0,0,5,2,0,22,0,0,14,0,0,25,35,0,25,0,0,0,0,0,0,0,55,0,0,0,0
3.5,15,37,19,0,0,9,50,0,20,0,6,14,8,30,75,0,0,26,10,40,90,70,19,89,0,78,35,20,0,115,0,110,0,38,0,0
4,30,56,35,35,0,15,82,28,46,0,13,25,15,79,134,0,15,38,29,92,154,109,35,171,0,161,80,49,70,249,48,175,45,77,330,579
4.5,49,92,55,105,15,28,125,47,110,10,47,42,28,121,215,10,68,57,45,155,255,170,55,269,0,254,155,160,150,430,90,293,135,133,508,892
5,67,127,75,175,51,41,174,65,170,22,81,60,41,170,302,23,121,77,73,229,354,236,75,389,0,351,238,272,280,613,136,410,236,190,702,1232
5.5,97,184,114,264,85,61,245,94,240,43,125,85,60,227,425,40,186,109,102,330,500,350,114,533,12,492,350,370,505,900,245,585,362,271,932,1638
6,127,240,153,352,120,80,321,123,355,65,169,110,80,280,552,59,251,141,131,441,643,467,153,704,24,635,474,469,750,1226,360,760,492,353,1209,2124
6.5,162,320,213,466,172,108,427,163,460,92,229,145,108,345,729,82,342,185,186,617,840,580,213,906,44,831,630,635,1100,1600,520,1005,642,467,1535,2696
7,197,400,274,580,225,136,532,203,580,120,289,180,1136,420,906,105,433,228,241,799,1038,720,274,1136,65,1026,802,802,1450,2030,688,1250,803,581,1914,3363
7.5,244,513,363,725,290,172,674,255,732,154,369,227,172,510,1138,135,550,282,308,989,1280,890,363,1400,95,1285,1018,1030,1925,2570,905,1575,1005,733,2355,4133
8,290,626,453,870,360,208,815,307,884,188,448,275,208,654,1370,164,667,336,376,1178,1525,1086,453,1674,125,1544,1234,1259,2450,3123,1128,1900,1250,886,2851,5009
8.5,350,759,583,1054,410,252,998,371,1065,228,546,337,251,778,1660,199,821,408,456,1428,1785,1325,583,1945,149,1874,1504,1550,3090,3784,1440,2300,1519,1079,3417,6002
9,410,892,714,1237,460,295,1180,435,1245,268,644,400,295,930,1950,233,974,480,536,1677,2037,1564,714,2173,174,2204,1773,1840,3780,4444,1760,2700,1788,1272,4053,7119
9.5,475,1058,862,1430,510,350,1380,500,1428,312,751,477,350,1129,2268,271,1147,562,620,1995,2230,1810,862,2373,196,2560,2076,2235,4690,5170,2135,3240,2022,1484,4764,8363
10,539,1223,1011,1623,550,405,1580,564,1612,356,858,555,405,1356,2586,308,1319,645,704,2313,2326,2057,1011,2518,218,2910,2379,2630,5600,5900,2512,3750,2256,1696,5553,9652
10.5,600,1407,1163,1818,585,457,1735,625,1756,398,964,613,457,1567,2870,345,1497,710,788,2608,2386,2370,1163,2619,235,3215,2664,3120,6390,6600,2856,4310,2425,1901,6419,10625
11,660,1590,1315,2012,610,508,1890,685,1900,440,1069,671,508,1778,3071,381,1675,744,871,2903,2400,2684,1315,2696,253,3399,2948,3608,7180,7299,3112,4850,2588,2106,7303,11482
11.5,710,1710,1450,2140,625,540,1995,733,1940,475,1166,710,540,1899,3195,411,1840,765,944,3100,2400,2940,1450,2739,271,3510,3141,4180,7600,7960,3232,5310,2695,2298,8057,11851
12,751,1830,1489,2230,638,571,2100,780,1968,510,1263,750,571,2020,3266,440,2004,785,1016,3227,2400,3133,1489,2766,288,3567,3334,4716,7750,8601,3280,5750,2780,2489,8707,11950
12.5,784,1890,1495,2280,648,590,2175,820,1980,533,1347,770,589,2099,3288,459,2143,802,1075,3275,2400,3280,1495,2780,300,3585,3425,4925,7925,9080,3300,6135,2825,1643,9210,11982
13,816,1950,1500,2300,655,600,2240,841,1990,556,1431,790,600,2178,3298,478,2281,810,1124,3281,2400,3393,1500,2780,311,3596,3515,5000,8000,9272,3300,6500,2850,2797,9407,11994
13.5,840,2010,1500,2300,658,600,2280,845,2000,580,1492,802,600,2221,3299,486,2390,810,1195,3295,2400,3475,1500,2780,320,3598,3546,5000,8000,9410,3300,6770,2850,2874,9463,11998
14,850,2050,1500,2300,660,600,2300,848,2000,594,1552,810,600,2263,3300,494,2463,810,1247,3330,2400,3542,1500,2780,329,3600,3577,5000,8000,9500,3300,7000,2850,2951,9487,11999
14.5,850,2050,1500,2300,660,600,2300,849,2000,596,1585,810,600,2281,3300,497,2482,810,1274,3330,2400,3570,1500,2780,333,3600,3586,5000,8000,9500,3300,7195,2850,2972,9494,12000
15,850,2050,1500,2300,660,600,2300,849,2000,598,1617,810,600,2300,3300,499,2500,810,1301,3330,2400,3593,1500,2780,336,3600,3594,5000,8000,9500,3300,7350,2850,2993,9498,12000
15.5,850,2050,1500,2300,660,600,2300,849,2000,599,1631,810,600,2300,3300,500,2500,810,1322,3330,2400,3600,1500,2780,336,3600,3598,5000,8000,9500,3300,7440,2850,2996,9499,12000
16,850,2050,1500,2300,660,600,2300,850,2000,600,1642,810,600,2300,3300,500,2500,810,1344,3330,2400,3600,1500,2780,336,3600,3599,5000,8000,9500,3300,7500,2850,2999,9500,12000
16.5,850,2050,1500,2300,660,600,2300,850,2000,600,1647,810,600,2300,3300,500,2500,810,1354,3330,2400,3600,1500,2780,335,3600,3600,5000,8000,9500,3300,7550,2850,3000,9500,12000
17,850,2050,1500,2300,660,600,2300,850,2000,600,1649,810,600,2300,3300,500,2500,810,1364,3330,2400,3600,1500,2780,334,3600,3600,5000,8000,9500,3300,7580,2850,3000,9500,12000
17.5,850,2050,1500,2300,660,600,2300,850,2000,600,1650,810,600,2300,3300,500,2500,810,1355,3330,2400,3600,1500,2780,331,3600,3600,5000,8000,9500,3300,7580,2850,3000,9500,12000
18,850,2050,1500,2300,660,600,2300,850,2000,600,1650,810,600,2300,3300,500,2500,810,1335,3330,2400,3600,1500,2780,328,3600,3600,5000,8000,9500,3300,7580,2850,3000,9500,12000
18.5,850,2050,1500,2300,660,600,2300,850,2000,600,1650,810,600,2300,3300,500,2500,810,1322,3330,2400,3600,1500,2780,323,3600,3600,5000,8000,9500,3300,7580,2850,3000,9500,12000
19,850,2050,1500,2300,660,600,2300,850,2000,600,1650,810,600,2300,3300,500,2500,810,1319,3330,2400,3600,1500,2780,319,3600,3600,5000,8000,9500,3300,7580,2850,3000,9500,12000
19.5,850,2050,1500,2300,660,600,2300,850,2000,600,1650,810,600,2300,3300,500,2500,810,1316,3330,2400,3600,1500,2780,316,3600,3600,5000,8000,9500,3300,7580,2850,3000,9500,12000
20,850,2050,1500,2300,660,600,2300,850,2000,600,1650,810,600,2300,3300,500,2500,810,1314,3330,2400,3600,1500,2780,313,3600,3600,5000,8000,9500,3300,7580,2850,3000,9500,12000
20.5,850,2050,1500,2300,660,600,2300,850,2000,600,1650,810,600,2300,3300,500,2500,810,1313,3330,0,3600,1500,2780,310,3600,3600,5000,8000,9500,3300,7580,2850,3000,9500,12000
21,850,2050,1500,2300,660,600,2300,850,2000,600,1650,810,600,2300,3300,500,2500,810,1312,3330,0,3600,1500,2780,307,3600,3600,5000,8000,9500,3300,7580,2850,3000,9500,12000
21.5,850,2050,1500,2300,660,600,2300,850,2000,600,1650,810,600,2300,3300,500,2500,810,1309,3330,0,3600,1500,2780,306,3600,3600,5000,8000,9500,3300,7580,2850,3000,9500,12000
22,850,2050,1500,2300,660,600,2300,850,2000,600,1650,810,600,2300,3300,500,2500,810,1307,3330,0,3600,1500,2780,305,3600,3600,5000,8000,9500,3300,7580,2850,3000,9500,12000
